Survey_ID,Transect,Deeltraject,Tijd,Soort,Aantal,
23,2,6,11:24,Variable waterjuffer,2,
23,2,6,11:24,Gewone oeverlibel,2,
23,2,6,11:24,Zuidelijke keizerlibel,1,
23,2,7,11:30,Gewone oeverlibel,3,
23,2,7,11:30,Zuidelijke keizerlibel,1,
23,2,7,11:30,Viervlek,1,
23,2,8,11:42,Lantaarntje,8,
23,2,9,11:46,Lantaarntje,1,
23,2,9,11:46,Gewone oeverlibel,2,
23,2,10,11:50,Gewone oeverlibel,1,
25,2,1,13:48,Lantaarntje,4,
25,2,2,13:52,Lantaarntje,2,
25,2,3,13:58,,,
25,2,4,14:05,,,
25,2,5,14:07,,,
25,2,6,14:11,,,
25,2,7,14:14,,,
25,2,8,14:17,Lantaarntje,46,
25,2,9,14:25,Lantaarntje,52,
25,2,9,14:25,Variabele waterjuffer,1,
25,2,9,14:25,Azuurwaterjuffer,1,
25,2,10,14:34,Lantaarntje,62,
25,2,10,14:34,Variabele waterjuffer,1,
25,2,10,14:34,Grote keizerlibel,1,
25,2,10,14:34,Viervlek,1,
25,1,1,11:58,,,
25,1,2,12:00,,,
25,1,3,12:03,,,
25,1,4,12:05,Lantaarntje,3,
25,1,5,12:11,,,
25,1,6,12:16,Lantaarntje,1,
25,1,6,12:16,Grote keizerlibel,1,
25,1,7,12:24,,,
25,1,8,12:27,,,
25,1,9,12:32,Vroege glazenmaker,1,
25,1,10,12:37,,,
28,1,1,13:28,Azuurwaterjuffer,33,
28,1,1,13:28,Gewone pantserjuffer,4,
28,1,1,13:28,Grote roodoogjuffer,4,
28,1,1,13:28,Lantaarntje,23,
28,1,1,13:28,Variabele waterjuffer,12,
28,1,1,13:28,Weidebeekjuffer,1,
28,1,1,13:28,Bruine korenbout,1,
28,1,1,13:28,Viervleklibel,1,
28,1,2,13:48,Gewone oeverlibel,1,
28,1,2,13:48,Vroege glazenmaker,1,
28,1,3,13:59,Azuurwaterjuffer,5,
28,1,3,13:59,Grote roodoogjuffer,10,
28,1,3,13:59,Lantaarntje,24,
28,1,3,13:59,Variabele waterjuffer,5,
28,1,3,13:59,Gewone oeverlibel,8,
28,1,3,13:59,Bruine korenbout,1,
28,1,3,13:59,Viervleklibel,4,
28,1,3,13:59,Grote keizerlibel,1,
28,1,4,14:08,,,
28,1,5,14:38,Grote roodoogjuffer,1,
28,1,5,14:38,Lantaarntje,12,
28,1,5,14:38,Variabele waterjuffer,2,
28,1,5,14:38,Viervleklibel,1,
28,1,5,14:38,Bloedrode heidelibel,1,
28,1,6,14:42,Gewone oeverlibel,2,
28,1,6,14:42,Bruine korenbout,2,
28,1,6,14:42,Viervleklibel,2,
28,1,6,14:42,Platbuiklibel,1,
28,1,6,14:42,Vuurlibel,1,
28,1,7,14:50,Grote roodoogjuffer,1,
28,1,7,14:50,Lantaarntje,3,
28,1,7,14:50,Gewone oeverlibel,1,
28,1,7,14:50,Bruine korenbout,1,
28,1,7,14:50,Viervleklibel,1,
28,1,7,14:50,Bloedrode heidelibel,5,
28,1,7,14:50,Vuurlibel,1,
28,1,8,14:54,Viervleklibel,1,
