Survey_ID,Transect,Stop,Tijd,Vogel,Aantal,,,,,,,,,,,,,,,,,,,,
6,1,7,14:50,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
6,1,8,15:01,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
6,2,1,15:33,Slobeend,2,,,,,,,,,,,,,,,,,,,,
6,2,1,15:33,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
6,2,2,15:44,Kuifeend,8,,,,,,,,,,,,,,,,,,,,
6,2,2,15:44,Oeverloper,2,,,,,,,,,,,,,,,,,,,,
6,2,3,15:47,Kuifeend,4,,,,,,,,,,,,,,,,,,,,
6,2,3,15:47,Oeverloper,1,,,,,,,,,,,,,,,,,,,,
6,2,3,15:47,Rietzanger,2,,,,,,,,,,,,,,,,,,,,
6,2,4,15:55,Cetti's zanger,1,,,,,,,,,,,,,,,,,,,,
6,2,5,16:01,,,,,,,,,,,,,,,,,,,,,,
6,2,6,16:06,,,,,,,,,,,,,,,,,,,,,,
6,2,7,16:11,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
7,1,1,4:25,Cetti's zanger,1,,,,,,,,,,,,,,,,,,,,
7,1,1,4:25,rietzanger,1,,,,,,,,,,,,,,,,,,,,
7,1,2,4:28,kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
7,1,3,4:32,rietzanger,1,,,,,,,,,,,,,,,,,,,,
7,1,3,4:32,blauwborst,2,,,,,,,,,,,,,,,,,,,,
7,1,4,4:34,rietzanger,2,,,,,,,,,,,,,,,,,,,,
7,1,4,4:34,kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
7,1,5,4:39,rietzanger,1,,,,,,,,,,,,,,,,,,,,
7,1,6,4:41,kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
7,1,7,4:45,kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
7,1,7,4:45,rietzanger,1,,,,,,,,,,,,,,,,,,,,
7,1,8,4:50,blauwborst,2,,,,,,,,,,,,,,,,,,,,
7,1,8,4:50,rietzanger,2,,,,,,,,,,,,,,,,,,,,
7,1,8,4:50,Cetti's zanger,1,,,,,,,,,,,,,,,,,,,,
7,1,9,4:54,rietzanger,1,,,,,,,,,,,,,,,,,,,,
7,2,1,5:25,kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
7,2,1,5:25,kuifeend,2,,,,,,,,,,,,,,,,,,,,
7,2,2,5:29,rietzanger,1,,,,,,,,,,,,,,,,,,,,
7,2,2,5:29,kuifeend,2,,,,,,,,,,,,,,,,,,,,
7,2,3,5:34,rietzanger,1,,,,,,,,,,,,,,,,,,,,
7,2,3,5:34,rietzanger,1,,,,,,,,,,,,,,,,,,,,
7,2,4,5:38,rietzanger,1,,,,,,,,,,,,,,,,,,,,
7,2,4,5:38,rietzanger,1,,,,,,,,,,,,,,,,,,,,
7,2,4,5:38,kuifeend,4,,,,,,,,,,,,,,,,,,,,
7,2,4,5:38,kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
7,2,5,5:43,kleine karekiet,2,,,,,,,,,,,,,,,,,,,,
7,2,6,5:47,,,,,,,,,,,,,,,,,,,,,,
7,2,7,5:49,kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
7,2,7,5:49,Rietzanger,2,,,,,,,,,,,,,,,,,,,,
8,1,1,4:33,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
8,1,1,4:33,Cetti's zanger,1,,,,,,,,,,,,,,,,,,,,
8,1,2,4:35,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
8,1,3,4:38,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
8,1,4,4:40,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
8,1,4,4:40,Kleine karekiet,2,,,,,,,,,,,,,,,,,,,,
8,1,5,4:49,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
8,1,5,4:49,Ijsvogel,1,,,,,,,,,,,,,,,,,,,,
8,1,6,4:52,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
8,1,6,4:52,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
8,1,7,4:55,Rietzanger,2,,,,,,,,,,,,,,,,,,,,
8,1,7,4:55,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
8,1,8,4:58,Blauwborst,1,,,,,,,,,,,,,,,,,,,,
8,1,8,4:58,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
8,1,8,4:58,Cetti's zanger,1,,,,,,,,,,,,,,,,,,,,
8,1,8,4:58,Rietgors,1,,,,,,,,,,,,,,,,,,,,
8,1,9,5:04,Blauwborst,1,,,,,,,,,,,,,,,,,,,,
8,1,9,5:04,Bosrietzanger,2,,,,,,,,,,,,,,,,,,,,
8,2,1,5:31,Kleine karekiet,2,,,,,,,,,,,,,,,,,,,,
8,2,2,5:33,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
8,2,2,5:33,Kuifeend,1,,,,,,,,,,,,,,,,,,,,
8,2,2,5:33,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
8,2,3,5:37,Rietzanger,2,,,,,,,,,,,,,,,,,,,,
8,2,4,5:40,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
8,2,4,5:40,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
8,2,4,5:40,Kuifeend,2,,,,,,,,,,,,,,,,,,,,
8,2,5,5:45,Kleine karekiet,2,,,,,,,,,,,,,,,,,,,,
8,2,5,5:45,Kuifeend,2,,,,,,,,,,,,,,,,,,,,
8,2,6,5:50,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
8,2,7,5:52,Kleine karekiet,2,,,,,,,,,,,,,,,,,,,,
8,2,7,5:52,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
5,1,1,10:00,Kuifeend,4,,,,,,,,,,,,,,,,,,,,
5,1,1,10:00,Tafeleend,4,,,,,,,,,,,,,,,,,,,,
5,1,2,10:04,Tafeleend,2,,,,,,,,,,,,,,,,,,,,
5,1,3,10:08,,,,,,,,,,,,,,,,,,,,,,
5,1,4,10:17,Kuifeend,2,,,,,,,,,,,,,,,,,,,,
5,1,4,10:17,Tafeleend,2,,,,,,,,,,,,,,,,,,,,
5,1,4,10:17,Dodaars,2,,,,,,,,,,,,,,,,,,,,
5,1,4,10:17,Roerdomp,1,,,,,,,,,,,,,,,,,,,,
5,1,5,10:25,,,,,,,,,,,,,,,,,,,,,,
5,1,6,10:30,Kleine karekiet,2,,,,,,,,,,,,,,,,,,,,
5,1,6,10:30,Roerdomp,1,,,,,,,,,,,,,,,,,,,,
5,1,6,10:30,Waterral,1,,,,,,,,,,,,,,,,,,,,
5,2,1,10:35,Tafeleend,2,,,,,,,,,,,,,,,,,,,,
5,2,1,10:35,Kleine karekiet,2,,,,,,,,,,,,,,,,,,,,
5,2,1,10:35,Blauwborst,1,,,,,,,,,,,,,,,,,,,,
5,2,1,10:35,Rietzanger,1,,,,,,,,,,,,,,,,,,,,
5,2,2,10:40,Kleine karekiet,1,,,,,,,,,,,,,,,,,,,,
5,2,2,10:40,Rietgors,1,,,,,,,,,,,,,,,,,,,,
5,2,2,10:40,Tafeleend,2,,,,,,,,,,,,,,,,,,,,
5,2,2,10:40,Roerdomp,1,,,,,,,,,,,,,,,,,,,,
5,2,3,10:44,Rietgors,2,,,,,,,,,,,,,,,,,,,,
5,2,3,10:44,Kuifeend,11,,,,,,,,,,,,,,,,,,,,
