Locatie,Datum,Stops in meters,Locatie + Stops,Rondes,X,Y,Soorten,Aantal,Paringswiel,Ei-afzettend,Temperatuur,Bewolking,Neerslag,Bft
Rijnstrangenaerdt,,250,Rijnstrangenaerdt 250,Ronde_1,51.89785,6.0959,Maanwater juffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,250,Rijnstrangenaerdt 250,Ronde_1,51.89785,6.0959,Speerwaterjuffer,,,,25,1/8,geen,NNO2
Rijnstrangenaerdt,,250,Rijnstrangenaerdt 250,Ronde_1,51.89785,6.0959,Donkere waterjuffer,,,,25,1/8,geen,NNO2
Rijnstrangengemaal,6/15/21,0,Rijnstrangengemaal 0,Ronde_2,51.914393,6.004059,Azuurwaterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,0,Rijnstrangengemaal 0,Ronde_2,51.914393,6.004059,Blauwe breedscheenjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,0,Rijnstrangengemaal 0,Ronde_2,51.914393,6.004059,Watersnuffel,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,0,Rijnstrangengemaal 0,Ronde_2,51.914393,6.004059,Kleine Roodoofjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,0,Rijnstrangengemaal 0,Ronde_2,51.914393,6.004059,Grote Roodoogjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,0,Rijnstrangengemaal 0,Ronde_2,51.914393,6.004059,Lantaarntje,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,0,Rijnstrangengemaal 0,Ronde_2,51.914393,6.004059,Variabele waterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,0,Rijnstrangengemaal 0,Ronde_2,51.914393,6.004059,Maanwater juffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,0,Rijnstrangengemaal 0,Ronde_2,51.914393,6.004059,Speerwaterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,0,Rijnstrangengemaal 0,Ronde_2,51.914393,6.004059,Donkere waterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,50,Rijnstrangengemaal 50,Ronde_2,51.91431,6.00347,Azuurwaterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,50,Rijnstrangengemaal 50,Ronde_2,51.91431,6.00347,Blauwe breedscheenjuffer,2,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,50,Rijnstrangengemaal 50,Ronde_2,51.91431,6.00347,Watersnuffel,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,50,Rijnstrangengemaal 50,Ronde_2,51.91431,6.00347,Kleine Roodoofjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,50,Rijnstrangengemaal 50,Ronde_2,51.91431,6.00347,Grote Roodoogjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,50,Rijnstrangengemaal 50,Ronde_2,51.91431,6.00347,Lantaarntje,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,50,Rijnstrangengemaal 50,Ronde_2,51.91431,6.00347,Variabele waterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,50,Rijnstrangengemaal 50,Ronde_2,51.91431,6.00347,Maanwater juffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,50,Rijnstrangengemaal 50,Ronde_2,51.91431,6.00347,Speerwaterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,50,Rijnstrangengemaal 50,Ronde_2,51.91431,6.00347,Donkere waterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,100,Rijnstrangengemaal 100,Ronde_2,51.91451,6.00442,Azuurwaterjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,100,Rijnstrangengemaal 100,Ronde_2,51.91451,6.00442,Blauwe breedscheenjuffer,,,,19,1/4,geen,ONO2
Rijnstrangengemaal,6/15/21,100,Rijnstrangengemaal 100,Ronde_2,51.91451,6.00442,Watersnuffel,,,,19,1/4,geen,ONO2
